from	to	type	regulation	subtype
110	49	PPrel	repression	inhibition
49	51	PPrel	repression	inhibition
180	183	PPrel	activation	activation,phosphorylation
180	49	PPrel	activation	activation,phosphorylation
180	186	PPrel	activation	activation,phosphorylation
180	187	PPrel	repression	inhibition,phosphorylation
180	188	PPrel	repression	inhibition,phosphorylation
186	197	PPrel	activation	activation,phosphorylation
14	136	PPrel	activation	compound
136	110	PPrel	activation	activation
14	181	PPrel	activation	compound
181	180	PPrel	activation	activation
51	DNA_auxin	GErel	activation	expression
DNA_auxin	127	GErel	activation	expression
DNA_auxin	126	GErel	activation	expression
DNA_auxin	128	GErel	activation	expression
127	PROC_PLANT_GROWTH	GErel	activation	activation
126	PROC_PLANT_GROWTH	GErel	activation	activation
128	PROC_PLANT_GROWTH	GErel	activation	activation
187	PROC_AUXIN_BIOSYN	GErel	activation	activation
188	PROC_ABA_RESPONSE	GErel	activation	activation
