Water deprivation	Response to ABA	Salt stress	Osmotic stress	Response to auxin	Response to nitrate
AT1G01480	ADE1	AT1G01140	AAR1	AGE2	AT1G02860
AT1G01620	AT1G01560	AT1G01510	AT1G01510	AT1G04100	AT1G03020
AT1G02205	AT1G01790	AT1G02730	AT1G02730	AT1G04240	AT1G05850
AT1G02730	AT1G02340	AT1G02820	AT1G04220	AT1G04250	AT1G08090
AT1G02820	AT1G03880	AT1G04120	AT1G04560	AT1G04550	AT1G12110
AT1G02930	AT1G04560	AT1G05690	AT1G04990	AT1G06400	AT1G20640
AT1G04400	AT1G05100	AT1G05850	AT1G05100	AT1G08030	AT1G32450
AT1G04580	AT1G05470	AT1G06040	AT1G08910	AT1G08810	AT1G76350
AT1G05180	AT1G05510	AT1G07400	AT1G10940	AT1G09190	AT1G78050
AT1G05850	AT1G05630	AT1G08780	AT1G15380	AT1G09530	AT2G14210
AT1G06390	AT1G08810	AT1G08830	AT1G16540	AT1G09700	AT2G15620
AT1G06770	AT1G08910	AT1G08910	AT1G16950	AT1G10840	AT3G21670
AT1G07000	AT1G08920	AT1G08920	AT1G20440	AT1G14000	AT3G48360
AT1G07200	AT1G08930	AT1G08930	AT1G20780	AT1G14350	AT3G60320
AT1G07980	AT1G09190	AT1G09950	AT1G22190	AT1G15050	AT3G62930
AT1G08720	AT1G09310	AT1G10170	AT1G27320	AT1G15580	AT3G62950
AT1G08810	AT1G09530	AT1G10370	AT1G27461	AT1G15750	AT4G15660
AT1G08920	AT1G09700	AT1G10570	AT1G29290	AT1G19220	AT4G15680
AT1G08930	AT1G09780	AT1G10880	AT1G32070	AT1G19830	AT4G15690
AT1G11755	AT1G09950	AT1G10940	AT1G32230	AT1G19850	AT4G15700
AT1G12110	AT1G10840	AT1G12610	AT1G32560	AT1G22920	AT4G21680
AT1G12610	AT1G11700	AT1G13930	AT1G33270	AT1G24590	AT4G24020
AT1G13740	AT1G12130	AT1G13960	AT1G35720	AT1G26870	AT4G24400
AT1G15360	AT1G12420	AT1G14080	AT1G35910	AT1G27740	AT4G26150
AT1G15380	AT1G12480	AT1G14920	AT1G42550	AT1G28130	AT5G02035
AT1G15520	AT1G13740	AT1G15100	AT1G43160	AT1G29440	AT5G40890
AT1G15690	AT1G14350	AT1G15690	AT1G43700	AT1G29510	AT5G50200
AT1G16060	AT1G14920	AT1G16060	AT1G47485	AT1G30330	
AT1G17950	AT1G15520	AT1G16540	AT1G50460	AT1G31040	
AT1G19020	AT1G16060	AT1G16850	AT1G50500	AT1G31340	
AT1G19120	AT1G16610	AT1G17840	AT1G51140	AT1G31690	
AT1G19490	AT1G17840	AT1G17870	AT1G53300	AT1G31710	
AT1G20440	AT1G17950	AT1G18630	AT1G55180	AT1G31760	
AT1G20450	AT1G18075	AT1G21610	AT1G55870	AT1G33410	
AT1G20840	AT1G18100	AT1G22882	AT1G55960	AT1G43850	
AT1G22190	AT1G19830	AT1G22885	AT1G58200	AT1G47485	
AT1G22882	AT1G20440	AT1G22890	AT1G58340	AT1G47510	
AT1G22885	AT1G20450	AT1G24460	AT1G59835	AT1G48410	
AT1G22890	AT1G20630	AT1G26440	AT1G59860	AT1G50030	
AT1G27320	AT1G22250	AT1G27320	AT1G60940	AT1G51950	
AT1G27730	AT1G23060	AT1G27730	AT1G61340	AT1G52830	
AT1G28520	AT1G24120	AT1G27760	AT1G64670	AT1G53230	
AT1G30100	AT1G24190	AT1G28380	AT1G65690	AT1G54060	
AT1G30270	AT1G27540	AT1G28520	AT1G66270	AT1G54990	
AT1G31690	AT1G27730	AT1G30580	AT1G69310	AT1G56650	
AT1G31710	AT1G29395	AT1G31470	AT1G72180	AT1G58220	
AT1G32230	AT1G30020	AT1G31690	AT1G72370	AT1G59750	
AT1G32560	AT1G31690	AT1G32230	AT1G77120	AT1G59870	
AT1G33240	AT1G31710	AT1G35720	AT1G78080	AT1G62810	
AT1G33560	AT1G31760	AT1G35910	AT1G78290	AT1G64520	
AT1G35720	AT1G31880	AT1G43160	AT2G04240	AT1G66340	
AT1G36730	AT1G31930	AT1G44170	AT2G17820	AT1G71090	
AT1G43160	AT1G32080	AT1G45249	AT2G18250	AT1G71230	
AT1G45249	AT1G32640	AT1G47485	AT2G21660	AT1G71930	
AT1G46768	AT1G35720	AT1G47510	AT2G22660	AT1G74120	
AT1G47128	AT1G43160	AT1G49300	AT2G23030	AT1G74650	
AT1G49230	AT1G43670	AT1G50460	AT2G23440	AT1G74660	
AT1G51140	AT1G44170	AT1G50960	AT2G30250	AT1G75580	
AT1G51190	AT1G45249	AT1G51460	AT2G31870	AT1G75590	
AT1G52340	AT1G47510	AT1G51500	AT2G32510	AT1G76520	
AT1G52400	AT1G48000	AT1G52050	AT2G35300	AT1G76530	
AT1G52690	AT1G49540	AT1G52060	AT2G35510	AT1G77690	
AT1G52890	AT1G50280	AT1G52070	AT2G35612	AT1G79220	
AT1G54160	AT1G51140	AT1G52400	AT2G37180	AT1G79570	
AT1G55610	AT1G51500	AT1G53165	AT2G38470	AT1G80390	
AT1G56280	AT1G51940	AT1G53300	AT2G38750	AT1G80680	
AT1G56600	AT1G51965	AT1G53540	AT2G39760	AT2G01200	
AT1G58440	AT1G52400	AT1G54050	AT2G40190	AT2G02560	
AT1G59870	AT1G53300	AT1G54100	AT2G40220	AT2G04160	
AT1G60200	AT1G54100	AT1G55760	AT2G40750	AT2G04550	
AT1G60650	AT1G55020	AT1G55870	AT2G41010	AT2G06850	
AT1G62280	AT1G55500	AT1G55960	AT2G41560	AT2G14960	
AT1G62660	AT1G55870	AT1G56570	AT2G42540	AT2G16580	
AT1G62810	AT1G56570	AT1G56600	AT2G42580	AT2G17500	
AT1G63490	AT1G56580	AT1G57870	AT2G43790	AT2G17785	
AT1G65484	AT1G56600	AT1G59860	AT2G43850	AT2G18010	
AT1G65486	AT1G58340	AT1G59870	AT2G47770	AT2G19690	
AT1G65500	AT1G59980	AT1G60130	AT3G01560	AT2G20000	
AT1G68090	AT1G60200	AT1G60220	AT3G03740	AT2G20180	
AT1G68820	AT1G60900	AT1G60490	AT3G05010	AT2G21200	
AT1G69270	AT1G61210	AT1G60940	AT3G06190	AT2G21220	
AT1G69310	AT1G61340	AT1G61210	AT3G08730	AT2G22240	
AT1G69600	AT1G62660	AT1G61340	AT3G09260	AT2G22670	
AT1G69700	AT1G62810	AT1G62280	AT3G12630	AT2G22810	
AT1G73330	AT1G63490	AT1G62660	AT3G14440	AT2G23440	
AT1G74520	AT1G63840	AT1G65484	AT3G16690	AT2G25170	
AT1G74920	AT1G64670	AT1G65486	AT3G17510	AT2G25930	
AT1G75080	AT1G64990	AT1G65500	AT3G19420	AT2G26740	
AT1G75380	AT1G65690	AT1G66340	AT3G20250	AT2G28350	
AT1G76080	AT1G66340	AT1G66350	AT3G21780	AT2G32700	
AT1G76180	AT1G66350	AT1G68090	AT3G23830	AT2G33310	
AT1G77120	AT1G68670	AT1G69270	AT3G24860	AT2G33860	
AT1G78080	AT1G69260	AT1G69310	AT3G25230	AT2G34650	
AT1G79600	AT1G69270	AT1G70170	AT3G33520	AT2G34680	
AT1G80410	AT1G69700	AT1G71730	AT3G43700	AT2G35050	
AT1G80710	AT1G70670	AT1G72370	AT3G45640	AT2G36910	
AT2G01830	AT1G70790	AT1G73500	AT3G46110	AT2G37320	
AT2G04030	AT1G70950	AT1G73660	AT3G46930	AT2G38120	
AT2G05620	AT1G71930	AT1G74920	AT3G47720	AT2G39550	
AT2G13570	AT1G71960	AT1G76520	AT3G50110	AT2G41800	
AT2G14260	AT1G73687	AT1G77120	AT3G50500	AT2G42580	
AT2G14610	AT1G74120	AT1G77180	AT3G50610	AT2G43010	
AT2G16600	AT1G74520	AT1G78080	AT3G51960	AT2G44910	
AT2G17820	AT1G74660	AT1G79270	AT3G53600	AT2G46070	
AT2G17840	AT1G75240	AT1G80590	AT3G54560	AT2G46990	
AT2G18050	AT1G75580	AT2G01430	AT3G56200	AT2G47000	
AT2G18340	AT1G75750	AT2G01570	AT3G56400	AT2G47260	
AT2G18960	AT1G76180	AT2G01980	AT3G56580	AT2G47460	
AT2G21490	AT1G76930	AT2G03150	AT3G56880	AT3G01130	
AT2G21660	AT1G77120	AT2G03340	AT3G58620	AT3G01220	
AT2G22125	AT1G77180	AT2G03380	AT3G59770	AT3G02260	
AT2G22430	AT1G78170	AT2G03440	AT3G61890	AT3G03820	
AT2G25170	AT1G79220	AT2G03445	AT3G62770	AT3G03830	
AT2G25180	AT1G80080	AT2G03760	AT3G63060	AT3G03840	
AT2G25625	AT1G80510	AT2G04030	AT4G01420	AT3G03847	
AT2G26650	AT1G80590	AT2G04240	AT4G02590	AT3G03850	
AT2G26740	AT1G80710	AT2G15390	AT4G04340	AT3G04730	
AT2G27470	AT2G01570	AT2G16005	AT4G04920	AT3G05630	
AT2G28625	AT2G02820	AT2G16500	AT4G06634	AT3G07390	
AT2G28740	AT2G03380	AT2G17270	AT4G08500	AT3G09370	
AT2G29130	AT2G04550	AT2G17840	AT4G10310	AT3G11260	
AT2G29970	AT2G05520	AT2G18190	AT4G11230	AT3G12670	
AT2G30580	AT2G05710	AT2G18250	AT4G13850	AT3G15540	
AT2G30870	AT2G13540	AT2G19310	AT4G14605	AT3G16500	
AT2G30980	AT2G15970	AT2G19450	AT4G16830	AT3G17600	
AT2G31470	AT2G16580	AT2G20880	AT4G17615	AT3G21110	
AT2G31650	AT2G16600	AT2G21660	AT4G18780	AT3G22650	
AT2G31870	AT2G17840	AT2G23110	AT4G21440	AT3G23030	
AT2G32150	AT2G17975	AT2G23440	AT4G28300	AT3G23050	
AT2G32273	AT2G18010	AT2G26190	AT4G33950	AT3G24280	
