node_id	display_name	type	gene_or_compound_id	x	y
12	ERS2	gene	AT1G04310	398	890
12	ERS2	gene	AT1G66340	398	890
12	ERS2	gene	AT2G40940	398	890
12	ERS2	gene	AT3G04580	398	890
12	ERS2	gene	AT3G23150	398	890
18	C00371	compound	C00371	244	442
19	HK3	gene	AT1G27320	323	442
19	HK3	gene	AT2G01830	323	442
19	HK3	gene	AT5G35750	323	442
21	GID1A	gene	AT3G05120	424	597
21	GID1A	gene	AT3G63010	424	597
21	GID1A	gene	AT5G27320	424	597
24	BRI1	gene	AT4G39400	323	1029
27	MYC2	gene	AT1G32640	678	1197
33	CTR1	gene	AT5G03730	476	890
34	MKK4	gene	AT1G51660	476	942
34	MKK4	gene	AT3G21220	476	942
35	MPK6	gene	AT2G43790	560	942
35	MPK6	gene	AT3G59790	560	942
36	EIN2	gene	AT5G03280	645	942
39	EIL3	gene	AT1G73730	753	942
39	EIL3	gene	AT2G27050	753	942
39	EIL3	gene	AT3G20770	753	942
39	EIL3	gene	AT5G10120	753	942
39	EIL3	gene	AT5G21120	753	942
39	EIL3	gene	AT5G65100	753	942
42	EBF1	gene	AT2G25490	753	890
42	EBF1	gene	AT5G25350	753	890
47	ERF1	gene	AT3G23240	851	943
47	ERF1	gene	AT5G47220	851	943
49	IAA10	gene	AT1G04100	564	176
49	IAA10	gene	AT1G04240	564	176
49	IAA10	gene	AT1G04250	564	176
49	IAA10	gene	AT1G04550	564	176
49	IAA10	gene	AT1G15050	564	176
49	IAA10	gene	AT1G15580	564	176
49	IAA10	gene	AT1G51950	564	176
49	IAA10	gene	AT1G52830	564	176
49	IAA10	gene	AT1G80390	564	176
49	IAA10	gene	AT2G01200	564	176
49	IAA10	gene	AT2G22670	564	176
49	IAA10	gene	AT2G33310	564	176
49	IAA10	gene	AT2G46990	564	176
49	IAA10	gene	AT3G04730	564	176
49	IAA10	gene	AT3G15540	564	176
49	IAA10	gene	AT3G16500	564	176
49	IAA10	gene	AT3G17600	564	176
49	IAA10	gene	AT3G23030	564	176
49	IAA10	gene	AT3G23050	564	176
49	IAA10	gene	AT3G62100	564	176
49	IAA10	gene	AT4G14550	564	176
49	IAA10	gene	AT4G14560	564	176
49	IAA10	gene	AT4G28640	564	176
49	IAA10	gene	AT4G29080	564	176
49	IAA10	gene	AT4G32280	564	176
49	IAA10	gene	AT5G25890	564	176
49	IAA10	gene	AT5G43700	564	176
49	IAA10	gene	AT5G65670	564	176
50	AHP5	gene	AT1G03430	446	442
50	AHP5	gene	AT1G80100	446	442
50	AHP5	gene	AT3G16360	446	442
50	AHP5	gene	AT3G21510	446	442
50	AHP5	gene	AT3G29350	446	442
50	AHP5	gene	AT4G04402	446	442
50	AHP5	gene	AT5G39340	446	442
51	ARF19	gene	AT1G19220	660	176
51	ARF19	gene	AT1G19850	660	176
51	ARF19	gene	AT1G30330	660	176
51	ARF19	gene	AT1G34170	660	176
51	ARF19	gene	AT1G34310	660	176
51	ARF19	gene	AT1G34390	660	176
51	ARF19	gene	AT1G34410	660	176
51	ARF19	gene	AT1G35240	660	176
51	ARF19	gene	AT1G35520	660	176
51	ARF19	gene	AT1G35540	660	176
51	ARF19	gene	AT1G43950	660	176
51	ARF19	gene	AT1G59750	660	176
51	ARF19	gene	AT1G77850	660	176
51	ARF19	gene	AT2G28350	660	176
51	ARF19	gene	AT2G33860	660	176
51	ARF19	gene	AT2G46530	660	176
51	ARF19	gene	AT3G61830	660	176
