TF	Target	Experimentos_pos	Experimentos_neg
AT5G65210	AT4G01700	0/3	1/3
AT4G27950	AT4G01700	1/4	1/4
AT5G62430	AT4G01700	0/2	1/2
AT5G62020	AT4G01700	0/1	1/1
AT2G22200	AT4G01700	0/1	1/1
AT5G10970	AT4G01700	0/1	1/1
AT3G16870	AT4G01700	0/1	1/1
AT5G04760	AT4G01700	0/1	1/1
AT5G15830	AT4G01700	0/1	1/1
AT5G67420	AT4G01700	0/2	2/2
AT4G01120	AT4G01700	0/1	1/1
AT3G49940	AT4G01700	0/2	2/2
AT5G29000	AT4G01700	1/1	0/1
AT1G66140	AT4G01700	0/1	1/1
AT1G68670	AT4G01700	0/1	1/1
AT4G16141	AT4G01700	0/1	1/1
AT3G17609	AT4G01700	0/1	1/1
AT2G39250	AT4G01700	1/2	1/2
AT1G51140	AT4G01700	1/1	0/1
AT5G49450	AT4G01700	0/1	1/1
AT2G22430	AT4G01700	0/1	1/1
AT4G37790	AT4G01700	1/1	0/1
AT5G10030	AT4G01700	0/2	1/2
AT3G28910	AT4G01700	1/1	0/1
AT5G67300	AT4G01700	0/1	1/1
AT2G33550	AT4G01700	0/1	1/1
AT1G25550	AT4G01700	0/1	1/1
AT1G72830	AT4G01700	0/1	1/1
AT5G57660	AT4G01700	0/1	1/1
AT4G23750	AT4G01700	1/1	0/1
AT1G09540	AT4G01700	1/1	0/1
AT1G22640	AT4G01700	0/1	1/1
AT4G37180	AT4G01700	1/1	0/1
AT2G40750	AT4G01700	1/1	0/1
AT1G35560	AT4G01700	1/1	0/1
AT2G38470	AT4G01700	1/1	0/1
AT1G69490	AT4G01700	1/1	0/1
AT4G36540	AT4G01700	0/1	1/1
AT2G42280	AT4G01700	1/1	0/1
AT4G31800	AT4G01700	1/1	0/1
AT3G18990	AT4G01700	1/1	0/1
AT5G65210	AT4G27410	0/3	2/3
AT4G27950	AT4G27410	0/4	2/4
AT5G62430	AT4G27410	0/2	2/2
AT5G62020	AT4G27410	0/1	1/1
AT5G10970	AT4G27410	0/1	1/1
AT3G16870	AT4G27410	0/1	1/1
AT5G04760	AT4G27410	1/1	0/1
AT5G15830	AT4G27410	0/1	1/1
AT5G67420	AT4G27410	2/2	0/2
AT4G01120	AT4G27410	1/1	0/1
AT1G13260	AT4G27410	1/1	0/1
AT5G58900	AT4G27410	1/1	0/1
AT3G49940	AT4G27410	1/2	1/2
AT5G29000	AT4G27410	0/1	1/1
AT1G66140	AT4G27410	0/1	1/1
AT1G68670	AT4G27410	0/1	1/1
AT4G16141	AT4G27410	0/1	1/1
AT3G17609	AT4G27410	0/1	1/1
AT2G39250	AT4G27410	0/2	1/2
AT4G39780	AT4G27410	1/2	0/2
AT5G49450	AT4G27410	0/1	1/1
AT2G22430	AT4G27410	0/1	1/1
AT5G10030	AT4G27410	0/2	1/2
AT3G28910	AT4G27410	0/1	1/1
