node_id	display_name	type	auxin_role	x	y	width	height
12	ERS2	gene	cytokinin_core	398	890	46	17
18	C00371	compound	cytokinin_core	244	442	8	8
19	HK3	gene	cytokinin_core	323	442	46	17
21	GID1A	gene	cytokinin_core	424	597	46	17
24	BRI1	gene	cytokinin_core	323	1029	46	17
27	MYC2	gene	cytokinin_core	678	1197	46	17
33	CTR1	gene	cytokinin_core	476	890	46	17
34	MKK4	gene	cytokinin_core	476	942	46	17
35	MPK6	gene	cytokinin_core	560	942	46	17
36	EIN2	gene	cytokinin_core	645	942	46	17
39	EIL3	gene	cytokinin_core	753	942	46	17
42	EBF1	gene	cytokinin_core	753	890	46	17
47	ERF1	gene	cytokinin_core	851	943	46	17
49	IAA10	gene	cytokinin_core	564	176	46	17
50	AHP5	gene	cytokinin_core	446	442	46	17
51	ARF19	gene	cytokinin_core	660	176	46	17
58	RR19	gene	cytokinin_core	570	442	46	17
60	RCAR1	gene	cytokinin_core	425	747	46	17
62	HAI2	gene	cytokinin_core	521	747	46	17
67	SNRK2.4	gene	cytokinin_core	617	747	46	17
68	BAK1	gene	cytokinin_core	323	1012	46	17
70	GSK1	gene	cytokinin_core	551	1073	46	17
71	BSK4	gene	cytokinin_core	371	1073	46	17
72	BKI1	gene	cytokinin_core	409	1029	46	17
73	BES1	gene	cytokinin_core	653	1073	46	17
74	BSU1	gene	cytokinin_core	459	1073	46	17
84	TGA9	gene	cytokinin_core	524	1325	46	17
85	NPR1	gene	cytokinin_core	427	1325	46	17
88	JAZ5	gene	cytokinin_core	598	1197	46	17
99	JAR1	gene	cytokinin_core	366	1209	46	17
110	AFB3	gene	cytokinin_core	467	176	46	17
112	ARR4	gene	cytokinin_core	726	442	46	17
115	SLY1	gene	cytokinin_core	522	547	46	17
116	PIF3	gene	cytokinin_core	617	614	46	17
120	COI1	gene	cytokinin_core	490	1197	46	17
122	AT1G50060	gene	cytokinin_core	686	1324	46	17
125	CYCD3;3	gene	cytokinin_core	820	1095	46	17
126	AT1G23160	gene	cytokinin_core	824	176	46	17
127	IAA10	gene	cytokinin_core	824	156	46	17
128	AT1G16510	gene	cytokinin_core	824	196	46	17
129	TCH4	gene	cytokinin_core	819	1072	46	17
136	LAX3	gene	cytokinin_core	323	176	46	17
137	GBF4	gene	cytokinin_core	715	747	46	17
180	AT1G24650	gene	cytokinin_core	323	269	46	17
181	ABP1	gene	cytokinin_core	295	252	46	17
183	AHA10	gene	cytokinin_core	324	331	46	17
186	MKK4	gene	cytokinin_core	449	280	46	17
187	TAR1	gene	cytokinin_core	449	303	46	17
188	HAI2	gene	cytokinin_core	449	325	46	17
197	MPK6	gene	cytokinin_core	556	280	46	17
203	PSKR1	gene	cytokinin_core	323	1509	46	17
204	BAK1	gene	cytokinin_core	323	1492	46	17
206	CAM4	gene	cytokinin_core	493	1632	46	17
207	PSK1	gene	cytokinin_core	244	1509	46	17
208	CNGC17	gene	cytokinin_core	323	1601	46	17
210	YUC9	gene	cytokinin_core	590	1632	46	17
212	AHA10	gene	cytokinin_core	323	1569	46	17
216	CDPK1	gene	cytokinin_core	465	1490	46	17
218	GLN1;5	gene	cytokinin_core	563	1490	46	17
228	PUB12	gene	cytokinin_core	381	1459	46	17
230	CAM4	gene	cytokinin_core	350	1526	46	17
231	CGA1	gene	cytokinin_core	775	649	46	17
234	SPT	gene	cytokinin_core	617	580	46	17
92	GAI	gene	cytokinin_core	521	597	46	17
