Water deprivation	Response to ABA
AT1G01480	AT1G11760
AT1G08930	AT1G27540
AT4G11280	AT1G60900
AT4G25620	AT1G70950
AT5G14730	AT2G19620
AT5G47210	AT2G24240
AT1G01470	AT2G36690
AT1G52330	AT3G04740
AT2G44060	AT3G09030
AT2G46140	AT3G18520
AT3G44380	AT3G50500
AT1G02930	AT3G58450
AT1G07200	AT4G04920
AT1G19020	AT4G15910
AT1G20450	AT4G28110
AT1G22882	AT4G33950
AT1G22885	AT5G11790
AT1G22890	AT5G37740
AT1G27730	AT5G41330
AT1G31690	AT5G45830
AT1G31710	AT5G62470
AT1G32640	AT5G66880
AT1G36730	AT1G04560
AT1G44170	AT1G05200
AT1G54100	AT1G05630
AT1G56280	AT1G09190
AT1G62810	AT1G09310
AT1G63490	AT1G22250
AT1G65484	AT1G27730
AT1G65486	AT1G31690
AT1G65500	AT1G31710
AT1G69270	AT1G31760
AT1G73330	AT1G32640
AT1G77120	AT1G44170
AT2G14260	AT1G54100
AT2G16600	AT1G55020
AT2G17840	AT1G56280
AT2G18340	AT1G56580
AT2G21620	AT1G62810
AT2G26740	AT1G63490
AT2G29970	AT1G69270
AT2G30870	AT1G70790
AT2G37180	AT1G73330
AT2G39800	AT1G74120
AT2G40130	AT1G77120
AT2G42540	AT1G78170
AT2G46680	AT1G79220
AT2G47190	AT1G80510
AT3G02840	AT1G80590
AT3G17520	AT2G16600
AT3G24500	AT2G23110
AT3G25760	AT2G23430
AT3G43670	AT2G26440
AT3G49190	AT2G37320
AT3G49210	AT2G38610
AT3G50970	AT2G39800
AT3G53400	AT2G42540
AT3G56200	AT2G46270
AT3G63520	AT2G46680
AT4G00990	AT2G47060
AT4G02380	AT3G01560
AT4G15910	AT3G02850
AT4G25490	AT3G17410
AT4G39090	AT3G20810
AT5G03190	AT3G43670
AT5G12420	AT3G45880
AT5G15960	AT3G48360
AT5G15970	AT3G48430
AT5G25610	AT3G49190
AT5G37300	AT3G49210
AT5G38820	AT3G55610
AT5G42380	AT3G56200
AT5G52300	AT3G60400
AT5G58670	AT3G61890
AT5G63460	AT4G02380
AT5G66400	AT4G02590
AT1G17280	AT4G05100
AT2G42620	AT4G21440
AT3G17000	AT4G23600
AT5G50430	AT4G24130
AT1G01790	AT4G38470
AT1G05180	AT5G04760
AT1G06390	AT5G11090
AT1G08720	AT5G12420
AT1G15360	AT5G15960
AT1G19490	AT5G15970
AT1G27730	AT5G19330
AT1G51190	AT5G19730
AT1G52340	AT5G37300
AT1G52890	AT5G38820
AT1G55610	AT5G46230
AT1G55660	AT5G49600
AT1G63490	AT5G52300
AT1G68820	AT5G52310
AT1G75080	AT5G56140
AT1G75380	AT5G58940
AT2G30980	AT1G15080
AT2G32150	AT1G18720
AT2G33860	AT1G55500
AT2G41070	AT2G23380
AT2G47800	AT2G28400
AT3G13380	AT2G44340
AT3G14320	AT2G46680
AT3G15500	AT3G13460
AT3G17410	AT3G46820
AT3G20840	AT3G60090
AT3G23050	AT4G02020
AT3G27550	AT4G15910
AT4G00630	AT4G21350
AT4G00990	AT4G34990
AT4G14540	AT5G19680
AT4G17870	AT5G61020
AT4G18710	AT1G01790
AT4G20350	AT1G02813
AT4G27410	AT1G02816
AT4G39400	AT1G10840
AT5G05690	AT1G15380
AT5G12290	AT1G16310
AT5G37300	AT1G16610
AT5G52310	AT1G18470
AT5G56550	AT1G63490
AT5G57050	AT1G66340
AT5G63460	AT1G67710
AT5G65790	AT1G69270
AT2G41430	AT1G70790
AT1G47128	AT1G75380
AT1G48130	AT2G26190
AT3G45140	AT2G32150
AT4G39090	AT2G34340
	AT2G43230
	AT2G47050
	AT3G01650
	AT3G04110
	AT3G17410
	AT3G20810
	AT3G24650
	AT3G26744
	AT3G27550
	AT3G45880
	AT3G53110
	AT3G61890
	AT4G00630
	AT4G02360
	AT4G02370
	AT4G13630
	AT4G20350
	AT4G20940
	AT4G26080
	AT4G27410
	AT4G33950
	AT4G34990
	AT5G19330
	AT5G39520
	AT5G40280
	AT5G58950
	AT5G63460
	AT5G66070
	AT1G18890
	AT1G74740
	AT2G30470
	AT2G40170
	AT3G05880
	AT3G11410
	AT3G51810
